path,ext,ok,empty,textBytes,images,error,panic,millis
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3953
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2566
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,3237
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,13239
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,3506
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,5609
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,2919
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,2716
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,2055
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1317
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2882
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,714
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1027
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,520
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,904
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,890
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1028
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,903
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,939
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,881
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1695
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,657
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,848
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1245
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,837
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,797
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,324
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,804
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,824
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4065
